Price,Close,High,Low,Open,Volume
Ticker,TRANSRAILL.NS,TRANSRAILL.NS,TRANSRAILL.NS,TRANSRAILL.NS,TRANSRAILL.NS
Date,,,,,
2024-12-27,553.5499877929688,605.0,544.5,590.0,19363730
2024-12-30,555.5499877929688,584.2000122070312,552.0,558.0,5252895
2024-12-31,540.2000122070312,564.0,532.2999877929688,555.0,1810098
2025-01-01,564.9000244140625,571.9000244140625,542.0,542.0,2521127
2025-01-02,642.9000244140625,663.9000244140625,564.3499755859375,570.5,21253307
2025-01-03,637.5999755859375,675.0,620.0,658.0,7617084
2025-01-06,660.4000244140625,718.9000244140625,637.0,644.0,27590837
2025-01-07,669.5,702.9500122070312,636.2999877929688,675.0,11337902
2025-01-08,664.7000122070312,673.7000122070312,630.6500244140625,670.0,4342618
2025-01-09,677.1500244140625,713.4000244140625,668.0,678.4000244140625,9557505
2025-01-10,647.4500122070312,674.7999877929688,636.5999755859375,667.7000122070312,4661606
2025-01-13,587.8499755859375,643.7999877929688,577.0,632.9000244140625,5480288
2025-01-14,633.1500244140625,645.0,602.4500122070312,605.0,5734769
2025-01-15,596.7000122070312,647.1500244140625,587.6500244140625,643.2999877929688,3179756
2025-01-16,602.25,662.9500122070312,598.4000244140625,625.0,8177132
2025-01-17,593.5,616.0,582.3499755859375,608.0,2545132
2025-01-20,590.5499877929688,612.9500122070312,585.25,595.0,1863438
2025-01-21,568.7999877929688,593.75,563.0,592.25,1650924
2025-01-22,568.1500244140625,577.9000244140625,551.6500244140625,572.0499877929688,1854835
2025-01-23,557.2999877929688,576.7000122070312,552.9000244140625,566.5,1190066
2025-01-24,528.0499877929688,556.3499755859375,522.7999877929688,555.0,2970954
2025-01-27,499.25,521.7000122070312,489.0,521.7000122070312,1455966
2025-01-28,516.0,534.9000244140625,474.6499938964844,501.8500061035156,2779948
2025-01-29,533.25,543.9500122070312,513.0,520.0499877929688,1373166
2025-01-30,539.4000244140625,563.0,531.25,532.9500122070312,1552910
2025-01-31,547.3499755859375,549.9000244140625,537.3499755859375,539.4000244140625,877242
2025-02-01,534.9000244140625,560.0,525.0,550.9000244140625,937889
2025-02-03,509.8500061035156,529.2000122070312,499.0,518.1500244140625,877182
2025-02-04,522.6500244140625,526.5,506.3500061035156,513.75,991619
2025-02-05,540.25,561.0,528.5499877929688,528.5999755859375,2901366
2025-02-06,554.0499877929688,564.7999877929688,536.6500244140625,544.0,1601772
2025-02-07,580.2000122070312,598.9500122070312,552.25,557.0,5112096
2025-02-10,585.5999755859375,598.7999877929688,563.6500244140625,588.0,2957093
2025-02-11,628.0,637.5999755859375,581.2000122070312,616.0,10592099
2025-02-12,578.0999755859375,624.3499755859375,572.0999755859375,620.0,5748059
2025-02-13,561.9000244140625,593.7999877929688,554.2000122070312,582.0999755859375,3081365
2025-02-14,542.75,567.7999877929688,536.2999877929688,563.5,1679047
2025-02-17,550.2000122070312,560.7999877929688,524.0499877929688,531.0999755859375,1882293
2025-02-18,522.3499755859375,554.2000122070312,515.75,552.0,1196003
2025-02-19,554.9500122070312,568.3499755859375,509.45001220703125,515.0,1715149
2025-02-20,547.7000122070312,560.9000244140625,545.0,551.0,761222
2025-02-21,523.0,565.0,519.0,549.4000244140625,1379788
2025-02-24,508.3500061035156,521.9500122070312,505.04998779296875,512.0499877929688,778669
2025-02-25,503.04998779296875,523.3499755859375,501.0,509.95001220703125,670583
2025-02-27,488.04998779296875,511.20001220703125,481.0,506.5,831253
2025-02-28,517.0999755859375,524.7000122070312,491.0,506.04998779296875,7175825
2025-03-03,514.7999877929688,525.9500122070312,486.29998779296875,520.9500122070312,2154080
2025-03-04,520.2000122070312,533.5,502.6499938964844,504.0,1601267
2025-03-05,537.75,545.9000244140625,515.0,519.0,1227341
2025-03-06,538.6500244140625,552.0,530.75,546.0,953286
2025-03-07,532.7999877929688,548.2999877929688,530.0499877929688,539.9500122070312,952199
2025-03-10,509.1000061035156,540.0,505.1000061035156,532.0999755859375,1051239
2025-03-11,510.29998779296875,519.0,491.0,491.0,1221036
2025-03-12,506.8999938964844,516.8499755859375,497.29998779296875,506.0,795307
2025-03-13,497.3500061035156,513.0499877929688,495.0,513.0499877929688,457482
2025-03-17,496.79998779296875,505.20001220703125,492.0,498.95001220703125,590917
2025-03-18,496.79998779296875,496.79998779296875,496.79998779296875,496.79998779296875,0
2025-03-19,506.70001220703125,523.9500122070312,500.79998779296875,505.0,2873530
2025-03-20,507.5,522.5999755859375,505.0,515.1500244140625,1725711
2025-03-21,509.1499938964844,520.75,505.0,510.0,1821039
2025-03-24,503.29998779296875,538.7999877929688,500.54998779296875,510.0,3008612
2025-03-25,499.3500061035156,512.9000244140625,490.0,506.0,2028045
2025-03-26,493.1499938964844,503.70001220703125,490.04998779296875,501.3999938964844,923706
2025-03-27,481.3500061035156,493.8500061035156,476.0,491.20001220703125,2249761
2025-03-28,462.54998779296875,492.95001220703125,461.0,484.20001220703125,2894568
2025-04-01,487.8500061035156,494.3999938964844,457.6499938964844,459.95001220703125,2479049
